date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:38	19188/19188	---M-Z	200	added ('OK')	application/x-javascript	etag:%224af4-574710441f6fa%22	http://innovationplans.com/idesign/coco2/js/popper.min.js	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/js/popper.min.js	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:39	48944/48944	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bf30-5747103cea78a%22	http://innovationplans.com/idesign/coco2/js/bootstrap.min.js	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/js/bootstrap.min.js	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:39	1418/1418	---M-Z	200	added ('OK')	application/x-javascript	etag:%2258a-57471044bab3d%22	http://innovationplans.com/idesign/coco2/js/scrollIt.min.js	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/js/scrollIt.min.js	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:40	9028/9028	---M-Z	200	added ('OK')	application/x-javascript	etag:%222344-57471041d9a48%22	http://innovationplans.com/idesign/coco2/js/jquery.waypoints.min.js	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/js/jquery.waypoints.min.js	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:40	66945/66945	---M--	200	added ('OK')	image/jpeg	etag:%2210581-57471056d666f%22	http://innovationplans.com/idesign/coco2/img/blog/2.jpg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/blog/2.jpg	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:40	42854/42854	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a766-5747104315cdd%22	http://innovationplans.com/idesign/coco2/js/owl.carousel.min.js	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/js/owl.carousel.min.js	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:41	20216/20216	---M-Z	200	added ('OK')	application/x-javascript	etag:%224ef8-57471040f909e%22	http://innovationplans.com/idesign/coco2/js/jquery.magnific-popup.min.js	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/js/jquery.magnific-popup.min.js	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:41	12597/12597	---M-Z	200	added ('OK')	application/x-javascript	etag:%223135-574710411abd2%22	http://innovationplans.com/idesign/coco2/js/jquery.stellar.min.js	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/js/jquery.stellar.min.js	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:41	40863/40863	---M-Z	200	added ('OK')	application/x-javascript	etag:%229f9f-5747103f39513%22	http://innovationplans.com/idesign/coco2/js/isotope.pkgd.min.js	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/js/isotope.pkgd.min.js	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:42	2805/2805	---M-Z	200	added ('OK')	application/x-javascript	etag:%22af5-5747104564de7%22	http://innovationplans.com/idesign/coco2/js/YouTubePopUp.jquery.js	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/js/YouTubePopUp.jquery.js	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:42	11730/11730	---M-Z	200	added ('OK')	application/x-javascript	etag:%222dd2-57471044de9c5%22	http://innovationplans.com/idesign/coco2/js/validator.js	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/js/validator.js	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:43	68194/68194	---M--	200	added ('OK')	image/jpeg	etag:%2210a62-57471059783c4%22	http://innovationplans.com/idesign/coco2/img/blog/3.jpg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/blog/3.jpg	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:43	6689/6689	---M-Z	200	added ('OK')	application/x-javascript	etag:%221a21-5747104408ba7%22	http://innovationplans.com/idesign/coco2/js/scripts.js	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/js/scripts.js	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:43	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-5747104a158f0%22	http://innovationplans.com/idesign/coco2/css/plugins/bootstrap.min.css	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/css/plugins/bootstrap.min.css	(from http://innovationplans.com/idesign/coco2/css/plugins.css)
18:18:43	16952/16952	---M-Z	200	added ('OK')	text/css	etag:%224238-57471048c8108%22	http://innovationplans.com/idesign/coco2/css/plugins/animate.min.css	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/css/plugins/animate.min.css	(from http://innovationplans.com/idesign/coco2/css/plugins.css)
18:18:44	7855/7855	---M-Z	200	added ('OK')	text/css	etag:%221eaf-5747104d95c6f%22	http://innovationplans.com/idesign/coco2/css/plugins/linea-basic.css	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/css/plugins/linea-basic.css	(from http://innovationplans.com/idesign/coco2/css/plugins.css)
18:18:44	34734/34734	---M-Z	200	added ('OK')	text/css	etag:%2287ae-5747104d07354%22	http://innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/css/plugins/fontawesome-all.min.css	(from http://innovationplans.com/idesign/coco2/css/plugins.css)
18:18:44	3018/3018	---M-Z	200	added ('OK')	text/css	etag:%22bca-5747104ef45e9%22	http://innovationplans.com/idesign/coco2/css/plugins/YouTubePopUp.css	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/css/plugins/YouTubePopUp.css	(from http://innovationplans.com/idesign/coco2/css/plugins.css)
18:18:45	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5747104ddc19c%22	http://innovationplans.com/idesign/coco2/css/plugins/magnific-popup.css	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/css/plugins/magnific-popup.css	(from http://innovationplans.com/idesign/coco2/css/plugins.css)
18:18:45	3228/3228	---M-Z	200	added ('OK')	text/css	etag:%22c9c-5747104e4ba81%22	http://innovationplans.com/idesign/coco2/css/plugins/owl.carousel.min.css	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/css/plugins/owl.carousel.min.css	(from http://innovationplans.com/idesign/coco2/css/plugins.css)
18:18:45	1003/1003	---M-Z	200	added ('OK')	text/css	etag:%223eb-5747104e89323%22	http://innovationplans.com/idesign/coco2/css/plugins/owl.theme.default.min.css	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/css/plugins/owl.theme.default.min.css	(from http://innovationplans.com/idesign/coco2/css/plugins.css)
18:18:46	13420/13420	---M-Z	200	added ('OK')	text/css	etag:%22346c-5747104cdeec6%22	http://innovationplans.com/idesign/coco2/css/plugins/helper.css	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/css/plugins/helper.css	(from http://innovationplans.com/idesign/coco2/css/plugins.css)
18:18:50	220625/220625	---M--	200	added ('OK')	image/svg+xml	etag:%2235dd1-5747103c3320b%22	http://innovationplans.com/idesign/coco2/img/wave.svg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/wave.svg	(from http://innovationplans.com/idesign/coco2/css/style.css)
18:18:50	145804/145804	---M--	200	added ('OK')	image/jpeg	etag:%222398c-57471030604e2%22	http://innovationplans.com/idesign/coco2/img/bg2.jpg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/bg2.jpg	(from http://innovationplans.com/idesign/coco2/colorful.html)
18:18:53	389/389	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Aug%202018%2012:48:54%20GMT	http://innovationplans.com/idesign/coco2/popper.js	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/popper.js	(from http://innovationplans.com/idesign/coco2/js/bootstrap.min.js)
18:18:55	16744/16744	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Aug%202018%2012:48:56%20GMT	http://www.innovationplans.com/idesign/coco2/popper.js	E:/prashant/my%20templates/hocrux/www.innovationplans.com/idesign/coco2/popper.3a.delayed	(from http://innovationplans.com/idesign/coco2/js/bootstrap.min.js)
18:18:56	1763/1763	---M--	200	added ('OK')	image/png	etag:%226e3-574710372cc3c%22	http://innovationplans.com/idesign/coco2/img/logo-dark.png	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/img/logo-dark.png	(from http://innovationplans.com/idesign/coco2/js/scripts.js)
18:18:57	391/391	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Aug%202018%2012:48:58%20GMT	http://innovationplans.com/idesign/coco2/contact.php	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/contact.php	(from http://innovationplans.com/idesign/coco2/js/scripts.js)
18:18:58	12260/12260	---M--	200	added ('OK')	text/plain	etag:%222fe4-5747101dbed23%22	http://innovationplans.com/idesign/coco2/fonts/linea-basic-10.woff	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/linea-basic-10.woff	(from http://innovationplans.com/idesign/coco2/css/plugins/linea-basic.css)
18:18:58	21478/21478	---M--	200	added ('OK')	text/plain	etag:%2253e6-5747101c04aa9%22	http://innovationplans.com/idesign/coco2/fonts/linea-basic-10.eot	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/linea-basic-10.eot	(from http://innovationplans.com/idesign/coco2/css/plugins/linea-basic.css)
18:19:00	21478/21478	---M--	200	added ('OK')	text/plain	etag:%2253e6-5747101c04aa9%22	http://innovationplans.com/idesign/coco2/fonts/linea-basic-10.eot?	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/linea-basic-10d41d.eot	(from http://innovationplans.com/idesign/coco2/css/plugins/linea-basic.css)
18:19:01	21284/21284	---M--	200	added ('OK')	text/plain	etag:%225324-5747101caca76%22	http://innovationplans.com/idesign/coco2/fonts/linea-basic-10.ttf	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/linea-basic-10.ttf	(from http://innovationplans.com/idesign/coco2/css/plugins/linea-basic.css)
18:19:01	404/404	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Aug%202018%2012:49:02%20GMT	http://innovationplans.com/idesign/coco2/fonts/linea-basic-10.svg	E:/prashant/my%20templates/hocrux/innovationplans.com/idesign/coco2/fonts/linea-basic-10.svg	(from http://innovationplans.com/idesign/coco2/css/plugins/linea-basic.css)
